Date,Open,High,Low,Close,Volume
2020-01-06,24.18,24.39,24.05,24.13,1091660
2020-01-07,24.26,24.6,24.13,24.6,837240
2020-01-08,24.34,24.43,24.05,24.05,1814290
2020-01-09,24.26,24.43,24.18,24.39,967050
2020-01-10,24.34,24.47,24.18,24.34,1018650
2020-01-13,24.3,24.39,24.13,24.18,786760
2020-01-14,24.18,24.3,24.13,24.13,721680
2020-01-15,24.13,24.18,24.05,24.13,940870
2020-01-16,24.13,24.64,24.13,24.56,1942970
2020-01-17,24.56,24.6,24.13,24.39,1388810
2020-01-20,24.34,24.56,24.22,24.3,1227100
2020-01-21,24.47,24.56,23.5,23.5,4351820
2020-01-22,23.29,23.92,23.16,23.92,3165650
2020-01-30,23.41,23.62,22.82,23.16,2638460
2020-01-31,22.86,23.24,22.02,22.02,4118150
2020-02-03,21.0,22.23,20.75,21.8,3602970
2020-02-04,22.18,22.18,21.59,21.93,1651440
2020-02-05,22.14,22.36,22.02,22.02,1648620
2020-02-06,22.23,22.69,21.93,22.69,1708550
2020-02-07,22.44,22.65,22.36,22.57,1218660
2020-02-10,22.18,22.44,22.06,22.27,738090
2020-02-11,22.4,22.74,22.31,22.69,1085380
2020-02-12,22.78,23.16,22.74,22.9,1104870
2020-02-13,22.9,23.07,22.74,22.99,1030570
2020-02-14,22.9,23.07,22.86,23.07,884240
2020-02-17,23.12,23.12,22.86,22.95,726390
2020-02-18,23.03,23.71,22.99,23.71,1760940
2020-02-19,23.67,23.79,23.5,23.58,681250
2020-02-20,23.75,23.88,23.5,23.62,780810
2020-02-21,23.67,23.67,23.16,23.16,1458040
2020-02-24,22.48,22.82,22.23,22.23,2261990
2020-02-25,22.06,22.86,22.02,22.86,1407720
2020-02-26,22.61,23.37,22.44,23.29,3221270
2020-02-27,23.29,23.92,23.12,23.71,2927040
2020-02-28,23.29,23.58,23.12,23.33,2132200
2020-03-02,23.33,23.79,23.2,23.58,1787060
2020-03-03,23.79,24.13,23.58,23.67,1193800
2020-03-04,23.5,23.5,23.24,23.5,1660790
2020-03-05,23.5,23.67,23.12,23.12,1296450
2020-03-06,22.95,22.99,22.65,22.86,1305030
2020-03-09,21.68,22.02,21.3,21.3,4735140
2020-03-10,21.59,22.02,21.3,21.89,2030340
2020-03-11,22.02,22.23,20.96,21.51,2753310
2020-03-12,20.58,20.87,20.03,20.36,3981670
2020-03-13,19.18,21.17,19.14,20.39,2919140
2020-03-16,20.39,21.04,20.11,20.15,1898960
2020-03-17,19.9,20.53,19.69,20.53,2474650
2020-03-18,20.75,20.79,20.47,20.49,1642800
2020-03-19,20.15,20.36,20.15,20.2,1296590
2020-03-20,20.41,20.43,20.05,20.2,1291360
2020-03-23,19.52,19.86,18.8,18.8,2826690
2020-03-24,19.05,19.05,18.42,18.84,2191500
2020-03-25,19.48,19.64,19.12,19.48,2131790
2020-03-26,19.26,19.41,18.71,18.71,2358310
2020-03-27,18.8,18.8,18.16,18.25,2633750
2020-03-30,17.15,17.4,16.98,17.1,2157690
2020-03-31,17.61,17.95,16.98,17.4,1663050
2020-04-01,17.27,18.29,17.27,17.91,1453030
2020-04-03,18.21,18.9,18.08,18.88,2072000
2020-04-06,19.48,20.11,19.26,20.11,2718990
2020-04-07,20.11,20.2,19.69,20.03,2463810
2020-04-08,19.52,19.92,19.37,19.84,1576670
2020-04-09,19.9,20.15,19.69,19.84,2142370
2020-04-10,19.73,19.9,19.43,19.64,1882020
2020-04-13,19.64,19.9,19.52,19.69,1255360
2020-04-14,20.15,20.96,19.9,20.96,4072050
2020-04-15,21.38,21.51,21.11,21.21,2205200
2020-04-16,21.04,21.51,20.87,21.3,1508480
2020-04-17,21.68,21.72,21.25,21.68,2631630
2020-04-20,21.97,22.02,21.47,21.72,2239780
2020-04-21,21.38,21.55,20.7,20.87,3737050
2020-04-22,20.66,21.68,20.62,21.64,2445860
2020-04-23,22.06,22.1,21.59,21.59,1363410
2020-04-24,21.55,21.68,21.21,21.59,1411380
2020-04-27,21.8,21.8,21.38,21.47,1419750
2020-04-28,21.47,21.51,21.25,21.47,974310
2020-04-29,21.51,21.76,21.38,21.51,1349230
2020-05-04,21.25,21.55,21.08,21.38,895530
2020-05-05,21.51,21.59,21.34,21.55,677990
2020-05-06,21.59,22.48,21.59,22.4,3470150
2020-05-07,22.44,22.65,22.18,22.65,2030720
2020-05-08,22.69,23.33,22.69,22.74,3585320
