Date,Open,High,Low,Close,Volume
2020-01-06,9.3,9.42,9.16,9.22,503090
2020-01-07,9.25,9.36,9.19,9.19,560640
2020-01-08,9.16,9.16,8.55,8.55,2402740
2020-01-09,8.55,8.67,8.52,8.58,555590
2020-01-10,8.58,8.76,8.58,8.67,670510
2020-01-13,8.67,8.73,8.47,8.73,619030
2020-01-14,8.76,8.76,8.67,8.73,406910
2020-01-15,8.78,8.93,8.73,8.84,451710
2020-01-16,8.84,8.87,8.76,8.84,332660
2020-01-17,8.84,8.87,8.61,8.64,242980
2020-01-20,8.55,8.55,8.09,8.15,1291770
2020-01-21,8.24,8.26,7.86,8.18,923380
2020-01-22,8.18,8.32,8.09,8.24,97810
2020-01-30,8.15,8.24,8.09,8.09,210030
2020-01-31,8.09,8.09,7.83,7.92,482530
2020-02-03,7.51,7.8,7.37,7.8,266220
2020-02-04,7.8,7.8,7.51,7.69,142510
2020-02-05,7.69,7.69,7.51,7.69,88780
2020-02-06,7.63,7.92,7.63,7.86,189030
2020-02-07,7.86,7.92,7.69,7.8,75610
2020-02-10,7.72,7.86,7.72,7.74,88490
2020-02-11,7.72,7.8,7.72,7.8,256380
2020-02-12,7.92,8.01,7.83,8.01,129090
2020-02-13,8.01,8.03,7.98,8.01,51240
2020-02-14,7.98,8.01,7.89,7.95,100830
2020-02-17,8.06,8.06,7.86,7.95,56600
2020-02-18,7.83,8.06,7.83,7.95,65220
2020-02-19,7.89,8.01,7.89,7.95,59320
2020-02-20,8.01,8.32,7.98,8.26,438160
2020-02-21,8.44,8.44,8.09,8.09,145140
2020-02-24,8.09,8.09,7.6,7.69,307900
2020-02-25,7.4,7.69,7.37,7.69,307320
2020-02-26,7.69,7.69,7.48,7.54,74410
2020-02-27,7.69,7.8,7.54,7.69,49330
2020-02-28,7.66,7.66,7.43,7.51,176890
2020-03-02,7.51,7.63,7.48,7.54,49680
2020-03-03,7.69,7.69,7.51,7.66,86710
2020-03-04,7.69,7.69,7.51,7.63,23360
2020-03-05,7.63,7.77,7.63,7.66,238260
2020-03-06,7.66,7.69,7.54,7.63,49510
2020-03-09,7.11,7.34,7.11,7.11,249450
2020-03-10,6.82,7.08,6.76,7.08,363400
2020-03-11,7.11,7.11,6.59,6.59,164080
2020-03-12,6.16,6.18,6.16,6.16,61520
2020-03-13,5.73,5.78,5.73,5.75,345960
2020-03-16,5.75,5.84,5.72,5.72,318270
2020-03-17,5.72,5.78,5.55,5.78,332550
2020-03-18,5.84,5.9,5.75,5.78,136870
2020-03-19,5.72,5.72,5.61,5.65,277240
2020-03-20,5.61,5.66,5.58,5.61,64250
2020-03-23,5.44,5.58,5.22,5.22,160330
2020-03-24,4.88,5.22,4.86,5.22,318570
2020-03-25,5.34,5.43,5.29,5.4,140410
2020-03-26,5.38,5.48,5.22,5.26,75340
2020-03-27,5.2,5.26,5.05,5.09,155780
2020-03-30,4.86,4.86,4.73,4.73,403510
2020-03-31,4.88,4.88,4.57,4.64,125620
2020-04-01,4.74,4.79,4.64,4.74,138250
2020-04-03,4.8,4.96,4.8,4.93,197370
2020-04-06,5.03,5.27,5.02,5.27,410240
2020-04-07,5.49,5.49,5.2,5.27,177620
2020-04-08,5.31,5.31,5.2,5.3,118820
2020-04-09,5.52,5.52,5.3,5.38,247500
2020-04-10,5.46,5.46,5.26,5.32,226360
2020-04-13,5.43,5.43,5.32,5.37,99210
2020-04-14,5.43,5.43,5.29,5.31,109460
2020-04-15,5.31,5.66,5.29,5.65,358560
2020-04-16,5.55,5.72,5.55,5.66,239270
2020-04-17,5.68,6.04,5.68,6.04,428810
2020-04-20,6.3,6.36,6.01,6.16,360880
2020-04-21,6.01,6.07,5.74,5.78,389050
2020-04-22,5.69,5.95,5.66,5.9,241970
2020-04-23,5.95,6.01,5.78,5.92,209980
2020-04-24,5.9,6.01,5.84,5.98,124540
2020-04-27,5.95,6.39,5.95,6.39,623160
2020-04-28,6.53,6.82,6.18,6.62,452640
2020-04-29,6.62,6.7,6.5,6.53,238270
2020-05-04,6.36,6.53,6.3,6.33,268770
2020-05-05,6.3,6.59,6.27,6.59,276050
2020-05-06,6.65,6.79,6.59,6.79,292380
2020-05-07,6.79,6.82,6.62,6.68,229870
2020-05-08,6.59,6.76,6.59,6.7,278110
2020-05-11,6.82,6.82,6.65,6.79,296670
2020-05-12,6.82,6.85,6.73,6.76,238090
2020-05-13,6.73,7.22,6.7,7.22,853720
2020-05-14,7.25,7.46,7.17,7.22,416620
2020-05-15,7.22,7.28,6.96,7.11,232990
2020-05-18,6.94,7.05,6.91,6.99,259340
2020-05-19,7.17,7.17,6.96,7.05,256990
2020-05-20,7.02,7.05,6.94,6.94,197600
2020-05-21,6.99,7.08,6.88,6.94,345440
2020-05-22,6.94,6.99,6.85,6.94,143920
2020-05-25,6.88,7.25,6.88,7.22,241990
2020-05-26,7.4,7.4,7.14,7.28,379650
2020-05-27,7.34,7.37,7.11,7.11,358090
2020-05-28,7.11,7.17,6.99,7.11,100090
2020-05-29,7.11,7.11,6.91,6.94,185440
2020-06-01,7.05,7.11,6.96,6.99,225860
2020-06-02,7.17,7.17,6.94,6.94,225160
2020-06-03,6.94,6.99,6.88,6.96,125790
2020-06-04,6.99,7.22,6.94,7.11,293990
2020-06-05,7.11,7.6,7.11,7.57,1270660
2020-06-08,7.69,7.72,7.48,7.51,765280
2020-06-09,7.51,7.51,7.34,7.46,606230
2020-06-10,7.37,7.8,7.22,7.63,1051340
2020-06-11,7.63,7.92,7.28,7.28,1014150
2020-06-12,6.94,7.31,6.94,7.22,373620
2020-06-15,7.22,7.22,6.79,6.79,391220
2020-06-16,6.79,7.17,6.76,6.79,565680
2020-06-17,6.79,7.17,6.79,6.99,277590
2020-06-18,6.91,7.11,6.88,6.99,94010
2020-06-19,6.94,7.08,6.94,7.05,164100
2020-06-22,7.02,7.14,6.94,7.02,321170
2020-06-23,6.94,7.08,6.88,6.91,371370
2020-06-24,6.88,6.99,6.7,6.76,378730
2020-06-25,6.68,6.76,6.59,6.76,221450
2020-06-26,6.79,6.85,6.62,6.65,176260
2020-06-29,6.56,6.65,6.3,6.3,358980
2020-06-30,6.33,6.39,6.18,6.3,227280
2020-07-01,6.3,6.42,6.27,6.42,166580
2020-07-02,6.47,6.53,5.98,6.42,225650
2020-07-03,6.39,6.47,6.36,6.44,44720
